iter	Passed	Remaining
842	7892	1469
843	7902	1460
844	7910	1451
845	7921	1441
846	7929	1432
847	7938	1422
848	7946	1413
849	7954	1403
850	7961	1394
851	7970	1384
852	7978	1374
853	7986	1365
854	7994	1355
855	8003	1346
856	8012	1336
857	8020	1327
858	8029	1317
859	8036	1308
860	8045	1298
861	8053	1289
862	8062	1279
863	8069	1270
864	8078	1260
865	8086	1251
866	8094	1241
867	8102	1232
868	8114	1223
869	8121	1213
870	8130	1204
871	8137	1194
872	8147	1185
873	8154	1175
874	8163	1166
875	8172	1156
876	8180	1147
877	8187	1137
878	8196	1128
879	8203	1118
880	8213	1109
881	8221	1099
882	8231	1090
883	8238	1081
884	8248	1071
885	8256	1062
886	8265	1052
887	8273	1043
888	8281	1034
889	8290	1024
890	8297	1015
891	8306	1005
892	8315	996
893	8327	987
894	8335	977
895	8346	968
896	8355	959
897	8363	949
898	8370	940
899	8381	931
900	8391	921
901	8399	912
902	8408	903
903	8416	893
904	8426	884
905	8434	875
906	8442	865
907	8450	856
908	8459	846
909	8467	837
910	8476	828
911	8484	818
912	8493	809
913	8501	799
914	8509	790
915	8517	781
916	8526	771
917	8534	762
918	8543	752
919	8551	743
920	8559	734
921	8567	724
922	8575	715
923	8584	706
924	8593	696
925	8602	687
926	8611	678
927	8621	668
928	8630	659
929	8640	650
930	8648	640
931	8656	631
932	8664	622
933	8673	612
934	8682	603
935	8692	594
936	8704	585
937	8716	576
938	8727	566
939	8740	557
940	8752	548
941	8766	539
942	8775	530
943	8786	521
944	8794	511
945	8804	502
946	8812	493
947	8820	483
948	8830	474
949	8838	465
950	8848	455
951	8855	446
952	8865	437
953	8872	427
954	8882	418
955	8890	409
956	8900	399
957	8908	390
958	8918	381
959	8925	371
960	8934	362
961	8941	353
962	8950	343
963	8958	334
964	8967	325
965	8974	315
966	8983	306
967	8990	297
968	8999	287
969	9007	278
970	9016	269
971	9024	259
972	9032	250
973	9040	241
974	9048	232
975	9056	222
